id;name;task_id;checked;checker_id;checker_name;checker_email;editor_id;editor_email;editor_name;required
1;Sports synthesize;73177;true;21836;5th generation Savings Account scalable;copying pink robust;4129;Handcrafted Steel Tuna Lead multi-byte;Liechtenstein Berkshire Money Market Account;true
2;USB;92684;false;74549;capacitor monitor;sticky;48532;Gold Bahraini Dinar Regional;24/365 Producer interfaces;true
3;cross-platform;50776;false;60000;Metal cross-platform;Egypt aggregate;22014;Director Checking Account;generate;true
4;Danish Krone;81659;false;11705;Singapore Sri Lanka orchestrate;Investor override;38845;navigating;Cook Islands Sleek Frozen;false
5;Human Handcrafted Fresh Hat;83676;true;69562;program seize;Front-line Automotive Awesome Plastic Mouse;93185;convergence back up;Palladium;false
6;local area network;93894;false;29757;Internal synergies teal;Metrics Persevering;52940;neutral navigating intuitive;intuitive Plastic;false
7;Intelligent Direct Administrator;21414;false;16026;open-source;Argentina Frozen Beauty;27254;24 hour;Ball Steel Naira;true
8;Up-sized Zambia Intelligent;84359;true;80805;Facilitator tan;web services optical gold;23422;Grocery Table sensor;purple leverage;false
9;District;89193;false;78789;Auto Loan Account applications Trinidad and Tobago;Upgradable Cambridgeshire Bolivia;13372;engage infrastructures;Uzbekistan;true
10;grow RSS disintermediate;54515;true;75517;Costa Rican Colon bypass programming;Rupiah redefine;31091;Planner;Home Loan Account Books 1080p;false
